yelp_id,name,is_closed,review_count,price,rating,distance,station_id
a2HY9Rwo08JJuF00JxvhjQ,Pad Thai,False,14,$$,3.5,805.5897398756049,e1593acef03a0fd770595370586bc358
-rbEC5j11zAH6qcl_YhHng,Le Fournil,False,10,$$,3.7,728.827182591494,e1593acef03a0fd770595370586bc358
Vs8LLb7gguxoW2fmDQrusQ,El Polluelo Amarillo,False,10,$$,3.7,812.7849028294049,e1593acef03a0fd770595370586bc358
KQ2D3gs9y0wIuTqoKOHO4w,Mestizo,False,56,$$$$,4.3,9.779957876266975,3983dd515589a80338dd44a28f5ec414
x_DdLWauj4tkkjapr8xFrQ,Naoki,False,24,$$$$,4.5,1012.9850532353098,3983dd515589a80338dd44a28f5ec414
DoA80AHI2YjhqemEHm9hEw,Parque Bicentenario,False,26,,4.9,425.14109680984313,3983dd515589a80338dd44a28f5ec414
9L7D68rsmWKp3ynU8xA4TQ,La Mar,False,39,$$$$,4.5,1053.6983922695504,3983dd515589a80338dd44a28f5ec414
T6ENSUv8tDALgdBPdsTPWw,Miraolas,False,13,$$$,4.5,1120.4767169144375,3983dd515589a80338dd44a28f5ec414
275PG2F-LO8V54M2AAuQkQ,Ox Restaurant,False,16,$$$$,3.9,460.29070245338266,3983dd515589a80338dd44a28f5ec414
2XQ9o3CwRH1HZr2f_abl4Q,Köök,False,8,$$$,3.9,388.0929925258448,3983dd515589a80338dd44a28f5ec414
KSjG0d5CMbDUfLkEvmyk_w,Cuerovaca,False,13,$$$,4.1,1065.7354808240602,3983dd515589a80338dd44a28f5ec414
jK0OawyZhe-xPuGMDwsQKQ,Balbona Gastro Bar,False,8,$$$,4.4,1022.4029266227082,3983dd515589a80338dd44a28f5ec414
zHxuxEw1isR1qT9g1bSlRA,Osaka,False,6,,4.7,826.1446993441749,3983dd515589a80338dd44a28f5ec414
pdYeOOp57Oq163vCK8p5Zw,Cumarú,False,2,$$$$,5.0,300.17254156239915,3983dd515589a80338dd44a28f5ec414
HscLEQuaaZ6Sa91pY4kfHg,Mariolas El Mañío,False,5,$$,4.8,1013.6786518580061,3983dd515589a80338dd44a28f5ec414
YHYoDWBZqI8QDJ2hqb8yPA,Rubaiyat,False,4,,4.3,354.11967124578825,3983dd515589a80338dd44a28f5ec414
jzkQARmHUZ3z3QCoWrQ0SQ,Mr. Jack,False,7,$$,4.4,636.6233863510759,3983dd515589a80338dd44a28f5ec414
APHxt34txNliJj46TYcjdQ,Starnberg Restaurant,False,8,$$$,4.1,989.1220509597448,3983dd515589a80338dd44a28f5ec414
WIHK2gHP7nqj1fWrqomWCQ,Carnal,False,6,$$$,4.2,732.9019742428139,3983dd515589a80338dd44a28f5ec414
e-SQwxGA6xn1nzK9yVDxcA,Tramonto Bar,False,5,$$$$,4.2,962.6422477947242,3983dd515589a80338dd44a28f5ec414
zI6h2r3AYtR4_co2gPfs4Q,Da Carla Ristorante,False,4,$$$,4.8,963.9541683588681,3983dd515589a80338dd44a28f5ec414
MeE7iPh7g7zhy5-p7Tw-7A,Saffron,False,4,$$,5.0,933.6289618133064,3983dd515589a80338dd44a28f5ec414
JjU-L_5htqz8CrNPtkc8bg,La Boquería de Barcelona,False,4,$$$,4.5,1026.8904041917076,3983dd515589a80338dd44a28f5ec414
TzlctOQDGHoWbl3jr2kxng,Bautista Gourmet,False,2,,4.5,481.047093358788,3983dd515589a80338dd44a28f5ec414
i-MCqf26gfFZxBXWa2_hww,7 Alces,False,5,$$,4.0,951.1090139991352,3983dd515589a80338dd44a28f5ec414
eenDfnh2K0QnyA1gbPcI5Q,Massatto,False,3,$$,4.3,1086.4537745708483,3983dd515589a80338dd44a28f5ec414
fmRWKI8h6pNdvUSnOAjpCw,Fuy,False,1,,5.0,500.2082067248559,3983dd515589a80338dd44a28f5ec414
TqAXDWjkIvJahOzoLHDzmA,Candelaria Bar,False,4,$$,3.8,963.2238890226954,3983dd515589a80338dd44a28f5ec414
CgupCSWY9aT4KqDRBgp__A,Cascarrabia,False,2,,5.0,1074.0434097267469,3983dd515589a80338dd44a28f5ec414
aDwtP1TWsOlqRClj0lVNbg,Tio Tomate,False,5,,4.0,1082.4247832307356,3983dd515589a80338dd44a28f5ec414
xdt-kVg2OnHf7L9v3pTnPQ,Restaurant Europeo,False,2,,4.5,940.8719437005367,3983dd515589a80338dd44a28f5ec414
HQdRI9WclE5nEsx5rzh1pw,La Estación,False,3,,4.0,1060.0925470695486,3983dd515589a80338dd44a28f5ec414
f0n6OpllVuVQjnDSoWDEvg,A Soul Of India,False,5,$$$,3.8,1030.3462203248748,3983dd515589a80338dd44a28f5ec414
leQEgtgmuv9iiJ0ame6OWg,Las Benzanilla,False,1,$$$,4.0,1029.4219077395223,3983dd515589a80338dd44a28f5ec414
