station_id,station_name,latitude,longitude,altitude,slots,free_bikes,empty_slots,yelp_id,place_name,review_count,price,rating,distance,category_name
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,LQHcI4vTAq1m8OiHKDiOvg,100 Montaditos,17,1.0,3.9,996.1139931673412,tapas bars
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,spa2Nr_sLf28GGiRrPQSMQ,Insert Coin,7,2.0,4.7,872.4562401869025,arcades
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,spa2Nr_sLf28GGiRrPQSMQ,Insert Coin,7,2.0,4.7,872.4562401869025,brasseries
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,iGvD2zDHJA6n21676oRyNg,Fiddlers,12,2.0,3.9,783.810901829282,irish
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,iGvD2zDHJA6n21676oRyNg,Fiddlers,12,2.0,3.9,783.810901829282,irish pub
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,K8qFuurxpzXnGHfxh5aVFA,Azul Profundo,12,2.0,4.2,856.6136488257728,seafood
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,K8qFuurxpzXnGHfxh5aVFA,Azul Profundo,12,2.0,4.2,856.6136488257728,cafes
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kwQ9uNRUECwYE9gsWklpwA,RockStar Karaoke,1,2.0,5.0,192.3429115949239,brasseries
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kwQ9uNRUECwYE9gsWklpwA,RockStar Karaoke,1,2.0,5.0,192.3429115949239,sushi bars
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kwQ9uNRUECwYE9gsWklpwA,RockStar Karaoke,1,2.0,5.0,192.3429115949239,karaoke
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,yP2UNxl1_r_9GUZbWhx1hg,Olan,9,2.0,4.2,963.498055020204,peruvian
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,cuhYTmS8dFcdRYx60wMhpw,La Gloria,19,2.0,4.5,712.840898710461,sandwiches
